ID,Title,Category,Link,Preview Icon,Pages,PDF Link,Description,Keywords,Accession Number,Publisher,ISBN,Condition,Author,Language,Year,Script,Custodian,Digitization Sponsor
5838,Meghdoot Tika,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5838&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001372_200.jpg,47,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005838.pdf,,,MN-001372,,,Good,Unknown,Sanskrit,,Devnagari,Kurukshetra University,
5840,Sidhant Chandrodya,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5840&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001370_200.jpg,110,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005840.pdf,,,MN-001370,,,Partially Damaged,Unknown,Sanskrit,,Devnagari,Kurukshetra University,
5841,Rag Malti and others,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5841&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001369_200.jpg,5,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005841.pdf,,,MN-001369,,,Partially Damaged,Unknown,Sanskrit,,Devnagari,Kurukshetra University,
5842,Bihari Satsai,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5842&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001368_200.jpg,342,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005842.pdf,,,MN-001368,,,Partially Damaged,Bihari,Hindi,,Devnagari,Kurukshetra University,
5843,Mimansa Nyaya Parkash,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5843&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001367_200.jpg,76,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005843.pdf,,,MN-001367,,,Good,Unknown,Sanskrit,,Devnagari,Kurukshetra University,
5844,Sri Mad Bhagwad Gita-Mool Bhav.,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5844&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001366_200.jpg,92,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005844.pdf,,,MN-001366,,,Good,Unknown,Panjabi,,Gurmukhi,Kurukshetra University,
5845,Sidhant Kaumodi,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5845&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001365_200.jpg,314,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005845.pdf,,,MN-001365,,,Good,Unknown,Sanskrit,,Devnagari,Kurukshetra University,
5847,Title Not Found,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5847&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001363_200.jpg,39,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005847.pdf,,,MN-001363,,,Good,Unknown,Sanskrit,,Devnagari,Kurukshetra University,
5849,Gurbani,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5849&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001361_200.jpg,1,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005849.pdf,,,MN-001361,,,Partially Damaged,,Panjabi,,Gurmukhi,"Bharpoor Singh, Anandpur Sahib",
5850,Bachitar Natak Gurmat Di Kasauti Te,Manuscripts,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=5850&page=1&CategoryID=3&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/MN-001360_200.jpg,40,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0005850.pdf,,,PL-000975,,,Good,,Panjabi,,Gurmukhi,"Bharpoor Singh, Anandpur Sahib",
